1
D:
0 * 2135 * * * * * -17 1367 * * * 3919 * 1330 * 591 3116 3386 2010 * * * 2502 3504 * 1621 1982 3543 2414 * 2240 26 * * * * * 3619 360 4846 3701 468
4021 0 4339 1782 * 428 * 4291 4004 5388 1842 290 13 1242 * 5351 * 2012 7137 974 1320 1906 1481 5 6523 132 4117 3581 824 791 2964 2114 6261 4047 * 4683 1230 3616 * 7640 685 780 2657 4335
2324 2378 0 * * * * 3513 2307 1432 * * * 4867 217 3654 * 1536 5440 5710 4334 * 1974 * -66 5828 1 3945 3314 2144 1193 * 4564 2350 * * * * * 5943 168 7170 575 2792
* 1219 2809 0 * * * * * 1598 2268 355 3502 390 3189 * * * * 670 * 4150 720 954 * * 2618 * * * 56 2437 1366 3575 * * * 1448 2240 * 3558 * * 296
* * * 3336 0 * 3511 2011 1377 * * * * * * 1590 2560 4400 1645 * * * * * 4655 3739 498 * 2468 * * 1985 1256 * 2455 2600 4187 4539 4412 * * * * *
1598 * 2605 4790 3344 0 694 2957 1581 1666 * 3698 2345 5517 * 1800 * 2189 4714 2665 2189 1186 1391 1152 3356 5102 * 3219 3047 4641 4012 * 3838 1624 4288 1455 * 2231 3287 4781 1958 3670 4064 1245
* * * 2366 713 * 0 * 4772 1798 2985 * * * 4399 1274 * 780 * 4734 3476 1594 * 4363 * 4324 3867 -76 * 799 * * 2158 * 1706 * * 4813 154 * 1207 3710 * *
3628 117 5763 * * 2374 * 0 3611 4995 * 786 1072 7547 4870 4958 3756 4219 102 2010 5638 1096 * * 6130 2909 475 5249 5610 7171 6042 1848 528 1729 214 * * 3765 1153 7247 3988 8474 7329 4096
* * 3293 4214 2878 * 479 * 0 * 729 * 4333 1340 * 1515 * 1240 2547 68 482 * * 4084 3635 * 3817 1766 * * * 3907 4050 2306 1458 1364 * 16 1043 * 2589 * * *
* 766 * * 4768 4004 * 2601 759 0 * 1862 * 2992 3525 * 3263 2728 * * * * * * * 2495 * 3754 441 1760 4044 * * * * * * 1980 * 1322 * * * 4448
4693 * 1605 3460 * * * * 988 6060 0 389 568 8612 4379 1980 1148 3543 732 665 2320 * 766 4708 3284 8197 * 1828 6675 2201 4072 1324 6933 3106 2278 * * 3793 1879 8312 5053 2897 3181 5161
